"","RecordType","Survey","Quarter","Country","Ship","Gear","SweepLngt","GearEx","DoorType","StNo","HaulNo","Year","SpecCodeType","SpecCode","AreaType","AreaCode","LngtCode","LngtClass","Sex","Maturity","PlusGr","Age","CANoAtLngt","IndWgt","FishID","GenSamp","StomSamp","AgeSource","AgePrepMet","OtGrading","ParSamp","MaturityScale","DateofCalculation","Valid_Aphia","LngtClassCm"
"47","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",280,"M",NA,NA,4,1,140,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,28
"48","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",280,"F",NA,NA,3,1,144,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,28
"49","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",290,"M",NA,NA,4,1,148,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,29
"50","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",310,"M",NA,NA,4,1,206,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,31
"51","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",310,"F",NA,NA,4,1,192,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,31
"52","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",330,"F",NA,NA,4,1,230,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,33
"53","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",370,"M",NA,NA,5,1,374,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,37
"54","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",370,"F",NA,NA,4,1,344,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,37
"55","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",380,"F",NA,NA,5,1,394,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,38
"56","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0885",64,2014,"W",127146,0,"22E5",".",390,"F",NA,NA,5,1,416,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,39
"57","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",260,"M",NA,NA,3,1,100,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,26
"58","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",270,"F",NA,NA,4,1,147,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,27
"59","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",310,"F",NA,NA,4,1,220,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,31
"60","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",330,"F",NA,NA,4,1,270,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,33
"61","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",340,"F",NA,NA,4,1,284,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,34
"62","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",370,"F",NA,NA,5,1,338,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,37
"63","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0880",60,2014,"W",127146,0,"22E5",".",380,"F",NA,NA,5,1,415,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,38
"64","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",270,"F",NA,NA,3,1,120,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,27
"65","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",270,"F",NA,NA,3,1,130,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,27
"66","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",280,"M",NA,NA,3,1,110,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,28
"67","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",300,"F",NA,NA,4,1,160,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,30
"68","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",320,"F",NA,NA,3,1,210,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,32
"69","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",320,"F",NA,NA,3,1,220,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,32
"70","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",330,"M",NA,NA,4,1,230,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,33
"71","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0881",61,2014,"W",127146,0,"22E5",".",360,"F",NA,NA,4,1,290,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,36
"72","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0884",63,2014,"W",127146,0,"22E5",".",200,"F",NA,NA,2,1,46,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,20
"73","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0884",63,2014,"W",127146,0,"22E5",".",210,"M",NA,NA,2,1,56,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,21
"74","CA","EVHOE",4,"FR","35HT","GOV",100,"D",NA,"S0884",63,2014,"W",127146,0,"22E5",".",290,"M",NA,NA,4,1,154,NA,NA,NA,NA,NA,NA,NA,NA,20150512,127146,29
